al_#,PON ID
10.930,PON.T39
10.339,PON.1K
10.339,PON.205
84.283,PON.57
84.283,PON.96
84.283,PON.144
93.104,PON.896
16.036,PON.12P
84.371,PON.96
84.371,PON.126
16.838,PON.159
16.838,PON.897
47.070,PON.102
47.070,PON.195
47.070,PON.T120
19.121,PON.138
20.268,PON.1J
20.268,PON.2J
20.268,PON.8Q
20.269,PON.8Q
20.269,PON.T33
20.269,PON.T35
93.493,PON.65
93.493,PON.131
93.493,PON.876
95.010,PON.897
59.059,PON.117
12.599,PON.N50
43.014,PON.T234
11.469,PON.2Q
66.202,PON.3J
66.202,PON.N28
16.753,PON.N37
11.617,PON.T120
11.617,PON.T123
11.617,PON.T125
32.007,PON.104
32.007,PON.876
11.028,PON.104
11.028,PON.827
11.028,PON.3G
12.005,PON.N26
10.342,PON.204
10.342,PON.7Q
10.941,PON.N27
10.942,PON.205
10.942,PON.204
10.942,PON.N22
10.099,PON.75
10.099,PON.866
10.938,PON.205
10.938,PON.10Q
10.938,PON.N27
81.086,PON.103
81.086,PON.10E
10.069,PON.7Q
10.924,PON.N29
16.888,PON.159
16.888,PON.N37
84.403,PON.96
66.700,PON.205
66.700,PON.4J
66.700,PON.8Q
20.325,PON.T34
20.325,PON.T35
20.337,PON.T34
20.337,PON.T35
20.338,PON.T34
20.338,PON.T35
15.021,PON.T55
66.418,PON.3J
20.270,PON.6T
20.812,PON.866
20.812,PON.12B
93.352,PON.1C
93.352,PON.T125
17.504,PON.1H
17.504,PON.2H
10.253,PON.N22
66.965,PON.10Q
66.965,PON.4J
14.267,PON.832
14.267,PON.833
14.267,PON.T73
19.790,PON.11IA
19.515,PON.3IA
19.515,PON.N61
97.045,PON.50
97.045,PON.T2
19.903,PON.138
19.903,PON.11IA
93.332,PON.N68
93.988,PON.876
93.988,PON.T89
93.079,PON.188
93.130,PON.876
93.130,PON.N74
93.946,PON.101
93.946,PON.119
93.946,PON.125
10.475,PON.T1
15.681,PON.10Q
15.681,PON.N26
